x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,y
27.98,-6,3,-3.87,22.91,0,0.017351561,-0.372108073,-0.606071024,-0.818617538,-0.937793237,90.4,46.97,63.14,50.21,23.66,2.67,4.78,4.78,-3.89,8.67,-5,2.88,5.03,5.03,-3.37,8.39,0
30.92,-13.5,3,-4.35,22.57,0.03,0.01096504,-0.362975947,-0.607634628,-0.793903983,-0.916934463,91.5,46.69,63.41,54.38,22.86,1.15,-2.25,0.94,-2.25,3.18,-4.63,3.55,6.12,6.12,-1.33,7.45,0
28.2,-3.64,0,-2.06,29.69,4.29,0.011539776,-0.370941477,-0.608411572,-0.822219095,-0.938280292,92.1,49.2,64.15,50.66,28.03,2.49,9.41,9.41,-0.76,10.17,-0.73,2.98,7.38,7.38,-2.55,9.93,0
27.71,13.5,3,-1.83,15.9,4.23,0.01703955,-0.359242338,-0.631679053,-0.794427342,-0.91768466,97.22,47.49,66.62,53.62,18.3,4.17,10.52,10.52,-5.87,16.39,4.17,4.03,-7.73,3.28,-7.73,11.01,0
25.01,10.5,3,-1.98,15.39,2.67,0.022192571,-0.35982968,-0.613621647,-0.795871515,-0.917940467,93.7,47.98,65.35,54.74,19.89,3.73,10.5,10.5,-4.31,14.81,1.14,3.19,-6.4,4.76,-6.4,11.16,0
9.81,3,3,0.38,28.2,-4.7,-0.00751092,-0.323167237,-0.629197715,-0.772616765,-0.883422608,52.42,48.36,48.9,56.88,35.31,1.29,2.27,2.27,-0.36,2.63,1.52,4.35,7.74,7.74,-0.85,8.6,0
-33.11,6,3,-6.37,28.38,0.47,0.00996771,-0.210124145,-0.620725617,-0.777742123,-0.878602515,34.53,72.45,48.26,58.58,32.63,2.2,5.59,5.59,0.29,5.3,2.41,3.27,5.4,5.4,-0.43,5.83,0
6.7,4.5,0,-1.88,30.45,-0.89,0.01021391,-0.294577999,-0.586527271,-0.756933018,-0.87640968,52.3,48.54,46.27,51.01,36.22,3.03,6.1,6.1,0.53,5.58,2.68,2.72,5.25,5.25,-0.52,5.77,0
-51.02,7.5,3,-6.34,27.9,-1.3,0.016523868,-0.175438596,-0.514361485,-0.77629539,-0.876050592,27.47,82.03,47.87,61.49,32.92,2.13,3.7,3.7,-3.19,6.89,2.17,1.84,-3.18,0.91,-3.18,4.09,0
-41.62,6,0,-2.07,28.98,0.14,0.010420907,-0.173613938,-0.532402508,-0.775502727,-0.87093951,27.73,75.26,44.12,56.79,34.44,0.98,-2.54,1.22,-2.54,3.77,2.68,1.72,3.58,3.58,-1.4,4.98,0
-9.98,22.5,0,-1.49,29.8,-6.37,0.042205395,-0.262681656,-0.583430006,-0.749657253,-0.866929615,52.07,53.91,54.5,59.31,36.81,5.85,11.78,11.78,-8.01,19.79,-1.45,4.85,8.36,8.36,-5.52,13.87,0
4.83,-10.59,0,3.89,18.89,0.91,0.02108508,-0.2527127,-0.53216194,-0.697472256,-0.897965475,54.32,43.66,49.25,42.3,26.94,4.34,-8.11,0.14,-8.11,8.26,-2.85,1.23,2.75,2.75,-2.65,5.4,0
0.75,-9,0,5,12.92,0.11,0.014336845,-0.253659616,-0.558392986,-0.692069492,-0.906136894,55.46,46.67,52.09,41.17,22.88,4.88,-7.89,0.12,-7.89,8.01,-0.64,3.88,6.65,6.65,-0.54,7.19,0
-5,-12,0,4.64,15.58,-2.73,0.001879248,-0.25109956,-0.567233107,-0.698440624,-0.901179528,49.99,51.91,54.34,43.06,23.65,3.8,-7.2,1.43,-7.2,8.62,2.19,2.75,6.12,6.12,-1.78,7.89,0
6.67,-18,0,4.58,16.92,0.03,-0.004116797,-0.255080729,-0.56592899,-0.68344847,-0.905072697,46.89,45.14,48.58,41.62,24.38,3.08,-5.04,1.02,-5.04,6.06,-2.19,2.7,4.1,4.1,-1.63,5.72,0
2.29,-15,0,5.04,14.62,-2.12,0.001877822,-0.255883176,-0.566802509,-0.693115985,-0.906288705,51.93,47.43,53.18,41.35,23.88,3.65,-6.85,1.48,-6.85,8.33,0.17,3.98,7.37,7.37,-1.65,9.02,0
7.6,-9,3,4.54,16.24,-1.3,-0.004217989,-0.256505208,-0.535050893,-0.680522001,-0.895540417,49.39,44,52.19,41.1,23.12,4.96,-9.19,0.93,-9.19,10.12,2.21,4.01,8.16,8.16,-1.96,10.12,0
5.06,-15,3,4.45,16.58,0.66,0.001742963,-0.251227086,-0.535189823,-0.678874086,-0.899809676,50,44.69,53.61,42.83,23.45,5.21,-8.68,-0.04,-8.68,8.64,1.26,2.69,4.86,4.86,-2.74,7.61,0
5.21,-15,0,5.73,16.53,-3.47,-0.010611146,-0.250648124,-0.540706204,-0.674631725,-0.899415181,41.89,43.6,49.22,42.2,23.45,3.7,-6.96,1.48,-6.96,8.44,0.87,1.69,3.26,3.26,-2.45,5.7,0
